Cycle,OpSet1,OpSet2,OpSet3,SensorMeasure1,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure5,SensorMeasure6,SensorMeasure7,SensorMeasure8,SensorMeasure9,SensorMeasure10,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure14,SensorMeasure15,SensorMeasure16,SensorMeasure17,SensorMeasure18,SensorMeasure19,SensorMeasure20,SensorMeasure21,labels
38,0.0006,0.0,100.0,518.67,642.27,1585.87,1402.1,14.62,21.58,550.31,2387.02,9033.85,1.3,47.43,519.09,2386.98,8121.13,8.4459,0.03,390,2388,100.0,38.91,23.3368,0
39,35.0073,0.84,100.0,449.44,554.81,1362.68,1119.13,5.48,7.97,193.13,2222.82,8340.85,1.02,41.51,182.26,2387.85,8056.89,9.3385,0.02,332,2223,100.0,14.92,8.8711,0
40,35.0033,0.84,100.0,449.44,554.91,1357.95,1110.61,5.48,7.98,194.22,2222.76,8339.62,1.02,41.49,182.03,2387.9,8055.65,9.3394,0.02,332,2223,100.0,14.94,8.9129,0
41,25.0009,0.6201,60.0,462.54,536.55,1254.48,1036.99,7.05,9.01,174.52,1915.22,8001.9,0.94,36.38,164.3,2028.14,7860.14,10.887,0.02,305,1915,84.93,14.46,8.6234,0
42,24.9994,0.62,60.0,462.54,536.24,1259.81,1035.5,7.05,9.01,174.66,1915.33,7998.72,0.94,36.54,164.33,2028.18,7866.13,10.8625,0.02,304,1915,84.93,14.27,8.5059,0
43,25.0043,0.6212,60.0,462.54,536.31,1256.04,1028.79,7.05,9.01,174.24,1915.24,7994.03,0.94,36.42,163.84,2028.18,7865.94,10.8548,0.02,305,1915,84.93,14.4,8.6184,0
44,25.0055,0.62,60.0,462.54,535.85,1249.41,1039.1,7.05,9.0,174.54,1915.21,7998.64,0.93,36.34,163.18,2028.1,7865.35,10.8857,0.02,306,1915,84.93,14.27,8.5751,0
45,25.0027,0.62,60.0,462.54,536.41,1254.16,1042.28,7.05,9.0,174.49,1915.21,8005.92,0.94,36.29,163.69,2028.14,7865.77,10.8586,0.02,306,1915,84.93,14.22,8.5964,0
46,0.002,0.0,100.0,518.67,642.87,1577.07,1404.99,14.62,21.58,551.15,2387.43,9036.5,1.3,47.14,519.26,2387.45,8120.96,8.4421,0.03,389,2388,100.0,38.95,23.1802,0
47,25.0031,0.62,60.0,462.54,536.94,1247.37,1041.73,7.05,9.0,175.31,1915.24,7997.19,0.94,36.34,163.19,2028.11,7869.03,10.8667,0.02,306,1915,84.93,14.24,8.597,0
48,41.9986,0.84,100.0,445.0,549.29,1342.44,1111.0,3.91,5.7,137.82,2211.91,8305.73,1.02,41.66,130.15,2387.97,8070.59,9.3477,0.02,329,2212,100.0,10.51,6.3725,0
49,20.0016,0.7004,100.0,491.19,606.71,1475.87,1236.21,9.35,13.61,332.64,2323.7,8710.23,1.07,43.8,313.01,2387.83,8049.07,9.2157,0.02,364,2324,100.0,24.49,14.7379,0
50,35.0039,0.842,100.0,449.44,555.12,1353.0,1114.88,5.48,7.98,193.54,2222.85,8335.41,1.02,41.43,181.64,2387.84,8064.05,9.2936,0.02,330,2223,100.0,14.84,8.9859,0
51,10.0046,0.2505,100.0,489.05,604.11,1498.59,1303.71,10.52,15.47,393.47,2318.65,8773.48,1.26,45.03,371.04,2387.84,8124.64,8.5976,0.03,367,2319,100.0,28.47,17.1766,0
52,42.0004,0.8406,100.0,445.0,549.39,1343.81,1111.75,3.91,5.7,138.19,2211.92,8300.69,1.02,41.51,129.56,2387.9,8075.56,9.341,0.02,327,2212,100.0,10.6,6.3849,0
53,20.006,0.7,100.0,491.19,606.82,1476.15,1235.37,9.35,13.61,333.71,2323.7,8713.12,1.07,43.87,313.12,2387.87,8055.66,9.2046,0.02,363,2324,100.0,24.37,14.6761,0
54,42.0026,0.841,100.0,445.0,548.85,1345.46,1108.95,3.91,5.7,138.18,2211.88,8311.53,1.02,41.8,129.83,2387.99,8075.98,9.355,0.02,329,2212,100.0,10.61,6.3754,0
55,42.0047,0.84,100.0,445.0,549.35,1345.15,1115.92,3.91,5.7,137.86,2211.94,8308.57,1.01,41.56,130.44,2387.99,8073.78,9.3823,0.02,329,2212,100.0,10.63,6.3652,0
56,20.0018,0.7,100.0,491.19,605.96,1478.09,1241.52,9.35,13.61,333.13,2323.69,8713.43,1.07,44.08,313.51,2387.8,8052.98,9.189,0.02,362,2324,100.0,24.42,14.5716,0
57,0.0015,0.0008,100.0,518.67,642.24,1572.87,1401.95,14.62,21.58,551.39,2387.33,9034.22,1.3,47.08,518.82,2387.35,8121.79,8.4091,0.03,391,2388,100.0,38.76,23.2879,0
58,42.0047,0.84,100.0,445.0,549.06,1341.57,1106.69,3.91,5.7,138.78,2211.87,8305.27,1.02,41.75,130.18,2387.96,8076.8,9.3639,0.02,327,2212,100.0,10.54,6.275,0
59,24.9987,0.6209,60.0,462.54,536.57,1251.72,1035.54,7.05,9.01,174.73,1915.23,8003.35,0.93,36.48,163.88,2028.13,7868.12,10.8975,0.02,305,1915,84.93,14.34,8.5356,0
60,20.0033,0.7007,100.0,491.19,606.79,1476.45,1236.52,9.35,13.62,333.23,2323.68,8711.42,1.07,44.15,313.04,2387.8,8056.63,9.2197,0.02,362,2324,100.0,24.26,14.7787,0
61,35.0027,0.84,100.0,449.44,555.26,1358.23,1112.98,5.48,7.97,194.11,2222.82,8338.06,1.02,41.44,182.03,2387.88,8060.79,9.2936,0.02,333,2223,100.0,14.68,9.0174,0
62,42.0028,0.841,100.0,445.0,549.01,1344.57,1111.48,3.91,5.7,137.91,2211.9,8312.01,1.01,41.7,129.38,2387.95,8078.08,9.3956,0.02,329,2212,100.0,10.59,6.3125,0
63,0.0026,0.0,100.0,518.67,642.41,1574.98,1388.29,14.62,21.57,550.74,2387.57,9037.5,1.3,46.95,519.63,2387.56,8120.54,8.4093,0.03,390,2388,100.0,38.83,23.3222,0
64,9.9987,0.25,100.0,489.05,603.91,1492.47,1295.89,10.52,15.47,392.92,2318.69,8768.53,1.26,45.03,370.33,2387.88,8116.15,8.6115,0.03,370,2319,100.0,28.66,17.2008,0
65,0.0002,0.001,100.0,518.67,641.68,1576.52,1391.43,14.62,21.58,552.7,2387.96,9047.17,1.3,46.91,521.18,2387.92,8126.44,8.3885,0.03,389,2388,100.0,39.06,23.4061,0
66,42.0043,0.84,100.0,445.0,549.25,1338.23,1115.55,3.91,5.69,137.76,2211.91,8309.32,1.01,41.64,129.91,2388.0,8070.94,9.3859,0.02,327,2212,100.0,10.65,6.303,0
67,35.0054,0.84,100.0,449.44,555.43,1351.45,1109.9,5.48,7.98,193.43,2222.81,8339.26,1.02,41.55,182.41,2387.89,8062.45,9.3215,0.02,333,2223,100.0,14.9,9.0315,0
68,0.0001,0.0,100.0,518.67,641.78,1581.16,1390.67,14.62,21.58,552.27,2387.91,9044.67,1.3,46.91,520.44,2387.95,8130.78,8.4128,0.03,392,2388,100.0,39.14,23.4225,0
69,0.0008,0.0,100.0,518.67,641.46,1579.82,1390.55,14.62,21.59,553.15,2387.96,9053.86,1.3,47.14,520.54,2387.93,8129.57,8.4031,0.03,391,2388,100.0,39.06,23.3688,0
70,41.9999,0.8414,100.0,445.0,548.58,1344.66,1117.54,3.91,5.7,137.96,2211.94,8311.46,1.02,41.72,130.09,2388.03,8078.86,9.3526,0.02,329,2212,100.0,10.57,6.3225,0
71,10.0061,0.25,100.0,489.05,603.79,1491.5,1300.18,10.52,15.46,393.13,2318.68,8762.49,1.26,44.93,370.13,2387.85,8123.16,8.6166,0.03,367,2319,100.0,28.65,17.2694,0
72,42.0007,0.84,100.0,445.0,548.97,1351.21,1112.23,3.91,5.7,138.63,2211.95,8308.92,1.02,41.76,129.71,2387.99,8078.28,9.3343,0.02,328,2212,100.0,10.68,6.431,0
73,34.9996,0.8401,100.0,449.44,554.68,1354.64,1124.58,5.48,7.98,193.48,2222.83,8334.68,1.02,41.52,182.67,2387.85,8058.77,9.3464,0.02,331,2223,100.0,14.88,8.9067,0
74,19.9997,0.7002,100.0,491.19,606.46,1481.83,1239.0,9.35,13.61,332.58,2323.72,8709.37,1.07,44.19,312.94,2387.8,8053.3,9.2153,0.02,363,2324,100.0,24.38,14.725,0
75,10.0057,0.25,100.0,489.05,604.12,1497.28,1290.6,10.52,15.46,394.29,2318.67,8772.98,1.26,44.66,370.84,2387.85,8120.32,8.6157,0.03,367,2319,100.0,28.58,17.2542,0
76,20.0005,0.7007,100.0,491.19,606.66,1474.37,1230.09,9.35,13.61,332.67,2323.7,8724.32,1.07,43.85,312.88,2387.89,8053.53,9.1911,0.02,363,2324,100.0,24.48,14.7474,0
77,41.9999,0.8409,100.0,445.0,548.65,1341.13,1109.07,3.91,5.69,138.25,2211.9,8301.9,1.01,41.76,129.83,2387.96,8072.08,9.3752,0.02,330,2212,100.0,10.5,6.3132,0
78,42.0033,0.8413,100.0,445.0,549.59,1339.95,1115.48,3.91,5.69,138.12,2211.94,8310.39,1.02,41.64,129.83,2387.92,8075.21,9.3775,0.02,328,2212,100.0,10.36,6.3782,0
79,42.0033,0.84,100.0,445.0,549.69,1346.74,1108.7,3.91,5.7,138.93,2211.9,8302.15,1.02,41.53,129.94,2387.97,8069.63,9.3518,0.02,330,2212,100.0,10.57,6.3827,0
80,10.0077,0.25,100.0,489.05,604.09,1488.22,1293.47,10.52,15.46,393.64,2318.67,8772.66,1.26,45.03,369.94,2387.78,8119.38,8.6532,0.03,367,2319,100.0,28.52,17.1861,0
81,20.0068,0.7005,100.0,491.19,606.94,1473.75,1233.96,9.35,13.61,332.48,2323.7,8713.87,1.07,43.87,313.92,2387.85,8054.25,9.18,0.02,364,2324,100.0,24.42,14.6309,0
82,35.004,0.8412,100.0,449.44,555.3,1360.17,1118.89,5.48,7.98,193.52,2222.84,8337.16,1.02,41.62,182.14,2387.87,8061.6,9.3146,0.02,330,2223,100.0,14.67,8.9893,0
83,25.005,0.621,60.0,462.54,536.28,1257.13,1042.0,7.05,9.0,174.94,1915.19,7998.88,0.94,36.42,163.75,2028.11,7871.52,10.8468,0.02,305,1915,84.93,14.25,8.5233,0
84,20.0031,0.7,100.0,491.19,606.79,1469.57,1238.58,9.35,13.61,332.53,2323.7,8702.15,1.07,43.94,313.84,2387.83,8055.89,9.1847,0.02,364,2324,100.0,24.43,14.7178,0
85,42.0007,0.8417,100.0,445.0,549.1,1350.3,1109.72,3.91,5.7,137.88,2211.86,8306.62,1.02,41.71,130.58,2387.93,8077.56,9.3514,0.02,329,2212,100.0,10.59,6.4113,0
86,0.0013,0.0,100.0,518.67,642.36,1578.24,1386.45,14.62,21.58,552.46,2387.88,9047.93,1.3,47.03,520.7,2387.93,8136.59,8.3964,0.03,390,2388,100.0,38.98,23.3123,0
87,35.0073,0.8411,100.0,449.44,555.32,1352.58,1120.51,5.48,7.98,193.76,2222.79,8333.99,1.02,41.51,182.26,2387.86,8065.45,9.3221,0.02,331,2223,100.0,14.79,8.9154,0
88,42.0001,0.8408,100.0,445.0,549.67,1341.56,1115.3,3.91,5.69,137.32,2211.96,8306.42,1.02,41.48,130.09,2387.99,8070.55,9.357,0.02,329,2212,100.0,10.67,6.3949,0
89,20.0045,0.7,100.0,491.19,606.67,1483.0,1246.45,9.35,13.62,333.57,2323.78,8711.38,1.07,44.01,313.33,2387.85,8053.25,9.1871,0.02,364,2324,100.0,24.63,14.7623,0
90,0.0021,0.0006,100.0,518.67,642.07,1576.06,1384.53,14.62,21.58,552.98,2387.94,9048.04,1.3,47.19,520.69,2387.94,8131.56,8.4011,0.03,391,2388,100.0,38.95,23.4175,0
91,9.9992,0.25,100.0,489.05,604.5,1495.21,1297.27,10.52,15.47,394.31,2318.68,8770.68,1.26,45.18,370.4,2387.93,8125.2,8.6104,0.03,366,2319,100.0,28.62,16.9787,0
92,25.0046,0.62,60.0,462.54,536.56,1249.6,1040.22,7.05,9.0,174.66,1915.25,8002.67,0.94,36.26,163.55,2028.15,7863.43,10.8294,0.02,305,1915,84.93,14.33,8.6429,0
93,20.0071,0.7,100.0,491.19,606.58,1473.21,1232.98,9.35,13.61,332.83,2323.65,8705.95,1.07,43.89,312.7,2387.82,8045.65,9.1983,0.02,363,2324,100.0,24.33,14.6484,0
94,9.9987,0.2513,100.0,489.05,604.23,1492.53,1295.91,10.52,15.47,393.14,2318.68,8770.96,1.26,44.96,370.77,2387.92,8127.89,8.6593,0.03,368,2319,100.0,28.64,17.12,0
95,25.0055,0.6209,60.0,462.54,536.4,1249.04,1037.81,7.05,9.0,174.46,1915.25,8001.66,0.94,36.29,163.76,2028.13,7863.31,10.8898,0.02,305,1915,84.93,14.41,8.6036,0
96,42.0036,0.84,100.0,445.0,549.52,1343.06,1106.93,3.91,5.69,137.55,2211.88,8301.31,1.02,41.71,129.93,2387.96,8078.97,9.3636,0.02,328,2212,100.0,10.62,6.3795,0
97,10.0032,0.2518,100.0,489.05,603.39,1489.59,1295.78,10.52,15.47,393.26,2318.66,8769.86,1.26,44.92,371.2,2387.89,8122.65,8.5626,0.03,368,2319,100.0,28.85,17.3044,0
98,10.0022,0.2515,100.0,489.05,604.08,1495.81,1303.74,10.52,15.47,393.61,2318.65,8755.21,1.26,44.94,370.9,2387.86,8129.98,8.6377,0.03,369,2319,100.0,28.55,17.1995,0
99,41.9985,0.84,100.0,445.0,549.42,1346.47,1111.37,3.91,5.7,137.6,2211.91,8304.08,1.02,41.49,129.92,2388.06,8077.4,9.3458,0.02,329,2212,100.0,10.71,6.2607,0
100,35.0077,0.84,100.0,449.44,555.41,1362.76,1117.42,5.48,7.97,193.17,2222.83,8331.29,1.02,41.46,181.85,2387.9,8060.14,9.2897,0.02,329,2223,100.0,14.87,8.7767,0
101,34.9988,0.841,100.0,449.44,555.07,1362.99,1114.79,5.48,7.98,193.55,2222.82,8337.79,1.02,41.57,182.2,2387.87,8060.78,9.3314,0.02,332,2223,100.0,14.9,8.8073,0
102,42.0057,0.84,100.0,445.0,549.11,1341.25,1120.01,3.91,5.7,137.28,2211.97,8308.05,1.02,41.59,130.18,2387.99,8072.76,9.3433,0.02,328,2212,100.0,10.64,6.3786,0
103,42.0045,0.84,100.0,445.0,549.43,1342.37,1106.16,3.91,5.69,137.59,2211.95,8306.71,1.02,41.76,129.89,2387.93,8077.55,9.3543,0.02,329,2212,100.0,10.66,6.3912,0
104,34.9989,0.84,100.0,449.44,555.07,1357.29,1116.25,5.48,7.97,193.25,2222.74,8336.32,1.02,41.36,181.87,2387.9,8057.34,9.3066,0.02,332,2223,100.0,14.93,8.9207,0
105,9.9993,0.25,100.0,489.05,604.1,1491.99,1294.57,10.52,15.47,393.35,2318.66,8770.75,1.26,45.13,371.33,2387.88,8128.88,8.6488,0.03,367,2319,100.0,28.58,17.1735,0
106,20.0052,0.701,100.0,491.19,606.55,1472.69,1239.82,9.35,13.6,333.21,2323.76,8708.7,1.07,43.94,312.87,2387.76,8052.77,9.1821,0.02,363,2324,100.0,24.52,14.8167,0
107,25.0073,0.6206,60.0,462.54,536.2,1258.8,1035.5,7.05,9.0,174.56,1915.23,7997.07,0.94,36.46,163.35,2028.12,7861.63,10.8509,0.02,305,1915,84.93,14.24,8.6356,0
108,34.9983,0.84,100.0,449.44,555.29,1357.87,1116.32,5.48,7.97,193.13,2222.78,8336.04,1.02,41.52,181.96,2387.85,8053.06,9.3357,0.02,330,2223,100.0,14.81,8.8585,0
109,10.003,0.25,100.0,489.05,604.47,1488.78,1294.97,10.52,15.46,394.06,2318.66,8775.38,1.26,45.03,370.39,2387.88,8125.0,8.6277,0.03,369,2319,100.0,28.69,17.2045,0
110,25.007,0.62,60.0,462.54,535.85,1255.17,1044.68,7.05,9.0,174.52,1915.25,7996.99,0.94,36.29,163.26,2028.09,7866.06,10.8578,0.02,305,1915,84.93,14.4,8.648,0
111,42.0072,0.84,100.0,445.0,548.9,1341.72,1113.93,3.91,5.69,138.03,2211.96,8304.43,1.01,41.8,129.94,2387.96,8073.52,9.3582,0.02,329,2212,100.0,10.65,6.3072,0
112,9.9989,0.2511,100.0,489.05,604.16,1499.19,1306.32,10.52,15.46,393.13,2318.67,8766.1,1.26,44.96,370.93,2387.84,8127.97,8.5877,0.03,367,2319,100.0,28.61,17.1082,0
113,0.001,0.0,100.0,518.67,641.49,1575.19,1392.92,14.62,21.58,552.99,2387.93,9055.13,1.3,47.06,520.68,2387.93,8133.53,8.3761,0.03,390,2388,100.0,38.85,23.4599,0
114,10.0039,0.2509,100.0,489.05,604.28,1493.73,1295.14,10.52,15.46,393.2,2318.64,8769.27,1.26,45.0,369.99,2387.87,8122.62,8.6053,0.03,368,2319,100.0,28.6,17.1584,0
115,20.0033,0.7001,100.0,491.19,606.82,1469.53,1242.63,9.35,13.61,333.05,2323.7,8714.44,1.07,44.13,313.16,2387.83,8046.64,9.1981,0.02,363,2324,100.0,24.48,14.6315,0
116,0.0025,0.0,100.0,518.67,641.93,1583.95,1388.23,14.62,21.58,552.97,2387.91,9043.85,1.3,47.04,521.24,2387.97,8130.29,8.4251,0.03,391,2388,100.0,39.09,23.3701,0
117,0.0009,0.0,100.0,518.67,641.77,1575.34,1390.32,14.62,21.58,552.83,2387.91,9050.92,1.3,47.23,520.74,2387.93,8134.24,8.3838,0.03,390,2388,100.0,39.25,23.266,0
118,9.9991,0.25,100.0,489.05,604.02,1494.48,1294.74,10.52,15.46,393.56,2318.74,8770.31,1.25,45.03,370.35,2387.9,8120.94,8.6331,0.03,366,2319,100.0,28.52,17.175,0
119,34.9985,0.84,100.0,449.44,555.09,1355.91,1107.89,5.48,7.98,193.57,2222.84,8341.52,1.02,41.7,182.25,2387.89,8066.34,9.3298,0.02,330,2223,100.0,14.85,8.9715,0
120,20.0049,0.7007,100.0,491.19,606.8,1476.48,1232.01,9.35,13.61,332.71,2323.69,8705.71,1.07,43.93,312.9,2387.8,8053.88,9.1887,0.02,363,2324,100.0,24.48,14.6712,0
121,35.001,0.84,100.0,449.44,555.1,1348.61,1113.96,5.48,7.98,192.81,2222.77,8334.48,1.02,41.52,182.13,2387.93,8058.81,9.2515,0.02,332,2223,100.0,14.82,8.9027,0
122,25.005,0.62,60.0,462.54,536.51,1253.07,1039.95,7.05,9.0,174.91,1915.23,8000.97,0.94,36.56,163.6,2028.13,7867.57,10.8872,0.02,304,1915,84.93,14.41,8.4764,0
123,10.0021,0.2505,100.0,489.05,604.48,1492.19,1298.37,10.52,15.46,393.49,2318.62,8770.28,1.26,44.99,370.1,2387.88,8124.3,8.6271,0.03,368,2319,100.0,28.53,17.213,0
124,25.0041,0.62,60.0,462.54,536.49,1254.73,1037.71,7.05,9.0,175.31,1915.21,7997.47,0.93,36.43,164.32,2028.2,7867.5,10.8785,0.02,307,1915,84.93,14.32,8.6125,0
125,35.0039,0.84,100.0,449.44,555.0,1355.13,1119.97,5.48,7.98,193.46,2222.86,8348.55,1.02,41.47,182.6,2387.91,8057.91,9.26,0.02,332,2223,100.0,15.01,9.0094,0
126,41.9997,0.8413,100.0,445.0,549.01,1338.46,1116.7,3.91,5.7,138.31,2211.96,8308.08,1.02,41.69,129.81,2387.95,8078.86,9.332,0.02,329,2212,100.0,10.64,6.3884,0
127,0.0014,0.0,100.0,518.67,641.05,1584.41,1397.47,14.62,21.58,553.35,2387.92,9055.1,1.3,46.89,520.65,2387.99,8132.99,8.3889,0.03,391,2388,100.0,39.19,23.4251,0
